delegacion,colonia,poblacion
CUAUHTEMOC,AMPLIACION ASTURIAS,5708
CUAUHTEMOC,ASTURIAS,4364
CUAUHTEMOC,ATLAMPA,14433
CUAUHTEMOC,BUENAVISTA,15605
CUAUHTEMOC,BUENOS AIRES,5772
CUAUHTEMOC,CENTRO,61229
CUAUHTEMOC,CONDESA,8453
CUAUHTEMOC,CUAUHTEMOC,11399
CUAUHTEMOC,DOCTORES,44703
CUAUHTEMOC,ESPERANZA,4072
CUAUHTEMOC,EX-HIPODROMO DE PERALVILLO,11711
CUAUHTEMOC,FELIPE PESCADOR,1988
CUAUHTEMOC,GUERRERO,42339
CUAUHTEMOC,HIPODROMO,13572
CUAUHTEMOC,HIPODROMO CONDESA,3204
CUAUHTEMOC,JUAREZ,10184
CUAUHTEMOC,MAZA,2503
CUAUHTEMOC,MORELOS,36590
CUAUHTEMOC,NONOALCO TLATELOLCO,27843
CUAUHTEMOC,OBRERA,35224
CUAUHTEMOC,PAULINO NAVARRO,5307
CUAUHTEMOC,PERALVILLO,20213
CUAUHTEMOC,ROMA NORTE,27770
CUAUHTEMOC,ROMA SUR,17435
CUAUHTEMOC,SAN RAFAEL,19684
CUAUHTEMOC,SAN SIMON TOLNAHUAC,9885
CUAUHTEMOC,SANTA MARIA INSURGENTES,1480
CUAUHTEMOC,SANTA MARIA LA RIBERA,40960
CUAUHTEMOC,TABACALERA,3267
CUAUHTEMOC,TRANSITO,9720
CUAUHTEMOC,VALLE GOMEZ,6281
CUAUHTEMOC,VISTA ALEGRE,3377
GUSTAVO A MADERO,15 DE AGOSTO,3099
GUSTAVO A MADERO,25 DE JULIO,3441
GUSTAVO A MADERO,6 DE JUNIO,3241
GUSTAVO A MADERO,7 DE NOVIEMBRE,3869
GUSTAVO A MADERO,ACUEDUCTO DE GUADALUPE,11011
GUSTAVO A MADERO,AHUEHUETES,4945
GUSTAVO A MADERO,AMPLIACION ARBOLEDAS,1490
GUSTAVO A MADERO,AMPLIACION BENITO JUAREZ,3437
GUSTAVO A MADERO,CASAS ALEMAN,22556
GUSTAVO A MADERO,AMPLIACION CASTILLO GRANDE,1383
GUSTAVO A MADERO,AMPLIACION EMILIANO ZAPATA,1412
GUSTAVO A MADERO,AMPLIACION GABRIEL HERNANDEZ,15753
GUSTAVO A MADERO,AMPLIACION GUADALUPE PROLETARIA,2898
GUSTAVO A MADERO,AMPLIACION MALACATES,4106
GUSTAVO A MADERO,AMPLIACION MARTIRES DE RIO BLANCO,2107
GUSTAVO A MADERO,AMPLIACION PANAMERICANA,1189
GUSTAVO A MADERO,AMPLIACION PROGRESO NACIONAL,5991
GUSTAVO A MADERO,AMPLIACION PROVIDENCIA,7339
GUSTAVO A MADERO,AMPLIACION SAN JUAN DE ARAGON,223
GUSTAVO A MADERO,ARAGON INGUARAN,4884
GUSTAVO A MADERO,ARAGON LA VILLA,4412
GUSTAVO A MADERO,ARBOLEDAS,7223
GUSTAVO A MADERO,LA CANDELARIA TICOMAN,9563
GUSTAVO A MADERO,GUADALUPE TICOMAN,1825
GUSTAVO A MADERO,LA LAGUNA TICOMAN,2093
GUSTAVO A MADERO,LA PURISIMA TICOMAN,10155
GUSTAVO A MADERO,SAN JUAN TICOMAN,7235
GUSTAVO A MADERO,SAN RAFAEL TICOMAN,997
GUSTAVO A MADERO,BELISARIO DOMINGUEZ,1173
GUSTAVO A MADERO,BENITO JUAREZ,7457
GUSTAVO A MADERO,BONDOJITO,2009
GUSTAVO A MADERO,C.T.M. ARAGON,6848
GUSTAVO A MADERO,CTM ATZACOALCO,8605
GUSTAVO A MADERO,CTM EL RISCO,9374
GUSTAVO A MADERO,CAMPESTRE ARAGON,23702
GUSTAVO A MADERO,CAPULTITLAN,3671
GUSTAVO A MADERO,CASTILLO CHICO,4678
GUSTAVO A MADERO,CASTILLO GRANDE,3890
GUSTAVO A MADERO,CHALMA DE GUADALUPE,35016
GUSTAVO A MADERO,CHURUBUSCO TEPEYAC,1968
GUSTAVO A MADERO,COCOYOTES,6816
GUSTAVO A MADERO,COMPOSITORES MEXICANOS,12040
GUSTAVO A MADERO,CONSTITUCION DE LA REPUBLICA,10618
GUSTAVO A MADERO,CUAUTEPEC BARRIO ALTO,6522
GUSTAVO A MADERO,CUAUTEPEC DE MADERO,9622
GUSTAVO A MADERO,CUCHILLA DEL TESORO,12995
GUSTAVO A MADERO,CUCHILLA LA JOYA,2709
GUSTAVO A MADERO,DEFENSORES DE LA REPUBLICA,3997
GUSTAVO A MADERO,DEL BOSQUE,5658
GUSTAVO A MADERO,DEL CARMEN,7239
GUSTAVO A MADERO,DEL OBRERO,4350
GUSTAVO A MADERO,DINAMITA,1426
GUSTAVO A MADERO,DM NACIONAL,13098
GUSTAVO A MADERO,EL ARBOLILLO,1458
GUSTAVO A MADERO,EL COYOL,5636
GUSTAVO A MADERO,EL OLIVO,3885
GUSTAVO A MADERO,EL TEPETATAL,2168
GUSTAVO A MADERO,EMILIANO ZAPATA,4272
GUSTAVO A MADERO,ESTANZUELA,2229
GUSTAVO A MADERO,ESTRELLA,9176
GUSTAVO A MADERO,EX-EJIDO SAN JUAN DE ARAGON SECTOR 32,1044
GUSTAVO A MADERO,EX-EJIDO SAN JUAN DE ARAGON SECTOR 33,3248
GUSTAVO A MADERO,EX ESCUELA DE TIRO,2244
GUSTAVO A MADERO,FAJA DE ORO,1072
GUSTAVO A MADERO,FERNANDO CASAS ALEMAN,1512
GUSTAVO A MADERO,FERROCARRILERA,356
GUSTAVO A MADERO,FORESTAL,5790
GUSTAVO A MADERO,FORESTAL I,2680
GUSTAVO A MADERO,FORESTAL II,1612
GUSTAVO A MADERO,GABRIEL HERNANDEZ,12139
GUSTAVO A MADERO,GENERAL FELIPE BERRIOZABAL,5052
GUSTAVO A MADERO,GERTRUDIS SANCHEZ 1A  SECCION,2992
GUSTAVO A MADERO,GERTRUDIS SANCHEZ 2A SECCION,8180
GUSTAVO A MADERO,GERTRUDIS SANCHEZ 3A SECCION,8371
GUSTAVO A MADERO,GRACIANO SANCHEZ,518
GUSTAVO A MADERO,GRANJAS MODERNAS,1610
GUSTAVO A MADERO,GUADALUPE INSURGENTES,3975
GUSTAVO A MADERO,GUADALUPE PROLETARIA,8645
GUSTAVO A MADERO,GUADALUPE TEPEYAC,7133
GUSTAVO A MADERO,GUADALUPE VICTORIA,2979
GUSTAVO A MADERO,GUADALUPE VICTORIA CUAUTEPEC,1356
GUSTAVO A MADERO,HEROE DE NACOZARI,2148
GUSTAVO A MADERO,CERRO PRIETO,4529
GUSTAVO A MADERO,HEROES DE CHAPULTEPEC,1293
GUSTAVO A MADERO,INDECO,1925
GUSTAVO A MADERO,INDUSTRIAL,19044
GUSTAVO A MADERO,JORGE NEGRETE,18341
GUSTAVO A MADERO,JUAN GONZALEZ ROMERO,9576
GUSTAVO A MADERO,JUVENTINO ROSAS,1269
GUSTAVO A MADERO,LA CASILDA,7892
GUSTAVO A MADERO,LA CRUZ,4213
GUSTAVO A MADERO,LA ESMERALDA,10046
GUSTAVO A MADERO,LA JOYA,7818
GUSTAVO A MADERO,LA JOYITA,1588
GUSTAVO A MADERO,LA LENGUETA,8157
GUSTAVO A MADERO,MALINCHE,3081
GUSTAVO A MADERO,LA PASTORA,10564
GUSTAVO A MADERO,LA PRADERA,7915
GUSTAVO A MADERO,LEGISLATURA 51,1145
GUSTAVO A MADERO,LINDAVISTA NORTE,11374
GUSTAVO A MADERO,LINDAVISTA SUR,7874
GUSTAVO A MADERO,LINDAVISTA VALLEJO I SECCION,2030
GUSTAVO A MADERO,LINDAVISTA VALLEJO II SECCION,5557
GUSTAVO A MADERO,LINDAVISTA VALLEJO III SECCION,2435
GUSTAVO A MADERO,LOMA DE LA PALMA,13690
GUSTAVO A MADERO,LOMAS DE CUAUTEPEC,10054
GUSTAVO A MADERO,LUIS DONALDO COLOSIO,5496
GUSTAVO A MADERO,MAGDALENA DE LAS SALINAS,5938
GUSTAVO A MADERO,MALACATES,8484
GUSTAVO A MADERO,MARTIN CARRERA,18019
GUSTAVO A MADERO,MARTIRES DE RIO BLANCO,6505
GUSTAVO A MADERO,MAXIMINO AVILA CAMACHO,2264
GUSTAVO A MADERO,MONTEVIDEO,1069
GUSTAVO A MADERO,NARCISO BASSOLS,5014
GUSTAVO A MADERO,NUEVA ATZACOALCO,31034
GUSTAVO A MADERO,NUEVA INDUSTRIAL VALLEJO,10026
GUSTAVO A MADERO,NUEVA TENOCHTITLAN,11027
GUSTAVO A MADERO,NUEVA VALLEJO,4223
GUSTAVO A MADERO,PALMATITLA,10669
GUSTAVO A MADERO,PANAMERICANA,4194
GUSTAVO A MADERO,PARQUE METROPOLITANO,360
GUSTAVO A MADERO,PLANETARIO LINDAVISTA,1409
GUSTAVO A MADERO,PRADERA II SECCION,7850
GUSTAVO A MADERO,PRADOS DE CUAUTEPEC,453
GUSTAVO A MADERO,PROGRESO NACIONAL,14363
GUSTAVO A MADERO,PROVIDENCIA,26086
GUSTAVO A MADERO,PUEBLO SAN JUAN DE ARAGON,20155
GUSTAVO A MADERO,SANTIAGO ATZACOALCO,4789
GUSTAVO A MADERO,RESIDENCIAL ACUEDUCTO DE GUADALUPE,5660
GUSTAVO A MADERO,LA ESCALERA,3969
GUSTAVO A MADERO,RESIDENCIAL ZACATENCO,4322
GUSTAVO A MADERO,ROSAS DEL TEPEYAC,1019
GUSTAVO A MADERO,SALVADOR DIAZ MIRON,7687
GUSTAVO A MADERO,SAN ANTONIO,724
GUSTAVO A MADERO,SAN BARTOLO ATEPEHUACAN,6666
GUSTAVO A MADERO,SAN FELIPE DE JESUS,49970
GUSTAVO A MADERO,SAN JOSE DE LA ESCALERA,3839
GUSTAVO A MADERO,SAN JOSE TICOMAN,3676
GUSTAVO A MADERO,SAN JUAN DE ARAGON,10
GUSTAVO A MADERO,SAN JUAN DE ARAGON I SECCION,17764
GUSTAVO A MADERO,SAN JUAN DE ARAGON II SECCION,13596
GUSTAVO A MADERO,SAN JUAN DE ARAGON III SECCION,11016
GUSTAVO A MADERO,SAN JUAN DE ARAGON IV SECCION,6960
GUSTAVO A MADERO,SAN JUAN DE ARAGON V SECCION,8271
GUSTAVO A MADERO,SAN JUAN DE ARAGON VI SECCION,10785
GUSTAVO A MADERO,SAN JUAN DE ARAGON VII SECCION,13406
GUSTAVO A MADERO,SAN MIGUEL,1144
GUSTAVO A MADERO,SAN PEDRO EL CHICO,4727
GUSTAVO A MADERO,SAN PEDRO ZACATENCO,8849
GUSTAVO A MADERO,SANTA ISABEL TOLA,12939
GUSTAVO A MADERO,SANTA MARIA TICOMAN,5602
GUSTAVO A MADERO,SANTA ROSA,14187
GUSTAVO A MADERO,SANTIAGO ATEPETLAC,3899
GUSTAVO A MADERO,SIETE MARAVILLAS,2466
GUSTAVO A MADERO,SOLIDARIDAD NACIONAL,1995
GUSTAVO A MADERO,TABLAS DE SAN AGUSTIN,5130
GUSTAVO A MADERO,TEPETATES,398
GUSTAVO A MADERO,TEPEYAC INSURGENTES,6526
GUSTAVO A MADERO,TLACAELEL,4076
GUSTAVO A MADERO,TLACAMACA,1552
GUSTAVO A MADERO,TLALPEXCO,9534
GUSTAVO A MADERO,TORRES LINDAVISTA,2676
GUSTAVO A MADERO,TRES ESTRELLAS,4534
GUSTAVO A MADERO,TRIUNFO DE LA REPUBLICA,3943
GUSTAVO A MADERO,VALLE DE MADERO,4084
GUSTAVO A MADERO,VALLE DEL TEPEYAC,1902
GUSTAVO A MADERO,VALLEJO,17923
GUSTAVO A MADERO,VALLEJO PONIENTE,1779
GUSTAVO A MADERO,VASCO DE QUIROGA,17244
GUSTAVO A MADERO,VILLA DE ARAGON,4688
GUSTAVO A MADERO,VILLA GUSTAVO A MADERO,3200
GUSTAVO A MADERO,VILLA HERMOSA,1212
GUSTAVO A MADERO,VISTA HERMOSA,2460
GUSTAVO A MADERO,ZONA ESCOLAR,14725
GUSTAVO A MADERO,ZONA ESCOLAR ORIENTE,13429
IZTACALCO,AGRICOLA ORIENTAL,83600
IZTACALCO,AGRICOLA PANTITLAN,60708
IZTACALCO,AMPLIACION GABRIEL RAMOS MILLAN,5568
IZTACALCO,LA ASUNCION,3578
IZTACALCO,LOS REYES,5655
IZTACALCO,SAN FRANCISCO XICALTONGO,2857
IZTACALCO,SAN MIGUEL,4663
IZTACALCO,SAN PEDRO,4667
IZTACALCO,SANTA CRUZ,2556
IZTACALCO,BARRIO SANTIAGO NORTE,4066
IZTACALCO,BARRIO SANTIAGO SUR,8051
IZTACALCO,ZAPOTLA,4467
IZTACALCO,CARLOS ZAPATA VELA,9000
IZTACALCO,CUCHILLA AGRICOLA ORIENTAL,2526
IZTACALCO,EL RODEO,5990
IZTACALCO,EX EJIDO MAGDALENA MIXIHUCA,1838
IZTACALCO,COYUYA,2154
IZTACALCO,GABRIEL RAMOS MILLAN,9519
IZTACALCO,GABRIEL RAMOS MILLAN SECCION BRAMADERO,21357
IZTACALCO,CUCHILLA GABRIEL RAMOS MILLAN,6046
IZTACALCO,GABRIEL RAMOS MILLAN SECCION TLACOTAL,8000
IZTACALCO,GRANJAS MEXICO,17523
IZTACALCO,INFONAVIT IZTACALCO,17661
IZTACALCO,INPI PICOS,2584
IZTACALCO,JARDINES TECMA,1760
IZTACALCO,JUVENTINO ROSAS,16231
IZTACALCO,LA CRUZ,4015
IZTACALCO,LOS PICOS DE IZTACALCO 1A SECCION,21094
IZTACALCO,LOS PICOS DE IZTACALCO 2A SECCION,2048
IZTACALCO,MILITAR MARTE,7111
IZTACALCO,NUEVA SANTA ANITA,2315
IZTACALCO,REFORMA IZTACCIHUATL NORTE,5699
IZTACALCO,REFORMA IZTACCIHUATL SUR,3622
IZTACALCO,SANTA ANITA,10343
IZTACALCO,TLAZINTLA,2445
IZTACALCO,VIADUCTO PIEDAD,10940
IZTACALCO,SIN NOMBRE,2069
IZTAPALAPA,BARRIO GUADALUPE,2532
IZTAPALAPA,12 DE DICIEMBRE,3690
IZTAPALAPA,ALBARRADA,1096
IZTAPALAPA,ALLAPETLALLI,2302
IZTAPALAPA,ALVARO OBREGON,7150
IZTAPALAPA,AMPLIACION BELLAVISTA,1773
IZTAPALAPA,AMPLIACION EL SANTUARIO,5039
IZTAPALAPA,AMPLIACION EL TRIUNFO,7254
IZTAPALAPA,AMPLIACION EMILIANO ZAPATA,8952
IZTAPALAPA,AMPLIACION LOS REYES,7403
IZTAPALAPA,AMPLIACION PARAJE SAN JUAN,4160
IZTAPALAPA,AMPLIACION RICARDO FLORES MAGON,2563
IZTAPALAPA,AMPLIACION SAN MIGUEL,588
IZTAPALAPA,AMPLIACION SINATEL,2796
IZTAPALAPA,AMPLIACION VERACRUZANA,1012
IZTAPALAPA,AÑO DE JUAREZ,3223
IZTAPALAPA,APATLACO,9970
IZTAPALAPA,BANJIDAL,3092
IZTAPALAPA,BARRANCA DE GUADALUPE,2415
IZTAPALAPA,BARRIO LA ASUNCION,4030
IZTAPALAPA,BARRIO SAN ANTONIO,14482
IZTAPALAPA,BARRIO SAN ANTONIO CULHUACAN,5889
IZTAPALAPA,BARRIO SAN IGNACIO,9104
IZTAPALAPA,BARRIO SAN JOSE,3099
IZTAPALAPA,BARRIO SAN LORENZO TEZONCO,5034
IZTAPALAPA,BARRIO SAN LUCAS,7072
IZTAPALAPA,BARRIO SAN MIGUEL,22757
IZTAPALAPA,BARRIO SAN PABLO,5455
IZTAPALAPA,BARRIO SAN PEDRO,5046
IZTAPALAPA,SAN SIMON CULHUACAN,5055
IZTAPALAPA,BARRIO SANTA BARBARA,15821
IZTAPALAPA,BARRIO TULA CULHUACAN,873
IZTAPALAPA,BELLAVISTA,2732
IZTAPALAPA,BENITO JUAREZ,1357
IZTAPALAPA,BUENAVISTA,35668
IZTAPALAPA,CACAMA,3902
IZTAPALAPA,CAMPESTRE POTRERO,20373
IZTAPALAPA,CANANEA,2269
IZTAPALAPA,CARLOS HANK GONZALEZ,7121
IZTAPALAPA,CARLOS JONGITUD BARRIOS,3657
IZTAPALAPA,CASA BLANCA,4502
IZTAPALAPA,CELOALLIOTLI,14319
IZTAPALAPA,CENTRAL DE ABASTOS,418
IZTAPALAPA,CERRO DE LA ESTRELLA,21070
IZTAPALAPA,CHINAMPAC DE JUAREZ,53468
IZTAPALAPA,CITLALLI,11548
IZTAPALAPA,COLONIAL IZTAPALAPA,5534
IZTAPALAPA,CONSEJO AGRARISTA MEXICANO,28640
IZTAPALAPA,CONSTITUCION DE 1917,14359
IZTAPALAPA,CUCHILLA DEL MORAL,3347
IZTAPALAPA,DEGOLLADO,3468
IZTAPALAPA,DESARROLLO URBANO QUETZALCOATL,61837
IZTAPALAPA,DOCTOR ALFONSO ORTIZ TIRADO,3951
IZTAPALAPA,EJERCITO DE AGUA PRIETA,19963
IZTAPALAPA,EJERCITO DE ORIENTE,7853
IZTAPALAPA,EJERCITO DE ORIENTE ZONA PEÑON,18111
IZTAPALAPA,EL EDEN,1652
IZTAPALAPA,EL MANTO,5033
IZTAPALAPA,EL MIRADOR,4191
IZTAPALAPA,EL MOLINO,1213
IZTAPALAPA,EL MOLINO TEZONCO,5743
IZTAPALAPA,EL PARAISO,14822
IZTAPALAPA,EL PRADO,2173
IZTAPALAPA,EL RETOÑO,8035
IZTAPALAPA,EL RODEO,6940
IZTAPALAPA,EL ROSARIO,5836
IZTAPALAPA,EL SANTUARIO,4046
IZTAPALAPA,EL SIFON,11872
IZTAPALAPA,EL TRIANGULO,2759
IZTAPALAPA,EL TRIUNFO,3326
IZTAPALAPA,VERGEL,18208
IZTAPALAPA,ERMITA ZARAGOZA,27889
IZTAPALAPA,ESCUADRON 201,12650
IZTAPALAPA,ESTADO DE VERACRUZ,904
IZTAPALAPA,ESTRELLA CULHUACAN,2214
IZTAPALAPA,ESTRELLA DEL SUR,7407
IZTAPALAPA,EVA SAMANO DE LOPEZ MATEOS,1720
IZTAPALAPA,FRANCISCO VILLA,10404
IZTAPALAPA,FUEGO NUEVO,9928
IZTAPALAPA,GRANJAS SAN ANTONIO,3240
IZTAPALAPA,GRANJAS ESMERALDA,1559
IZTAPALAPA,GRANJAS ESTRELLA,4633
IZTAPALAPA,GUADALUPE DEL MORAL,15018
IZTAPALAPA,HEROES DE CHURUBUSCO,5454
IZTAPALAPA,INSURGENTES,5722
IZTAPALAPA,IXTLAHUACAN,15414
IZTAPALAPA,JACARANDAS,6412
IZTAPALAPA,JARDINES DE CHURUBUSCO,1682
IZTAPALAPA,JARDINES DE SAN LORENZO TEZONCO,6865
IZTAPALAPA,JOSE LOPEZ PORTILLO,20390
IZTAPALAPA,JOSE MARIA MORELOS Y PAVON,2151
IZTAPALAPA,JUAN ESCUTIA,25135
IZTAPALAPA,JUSTO SIERRA,975
IZTAPALAPA,LA ERA,7673
IZTAPALAPA,LA ESPERANZA,12181
IZTAPALAPA,LA PLANTA,5883
IZTAPALAPA,LA POLVORILLA,14295
IZTAPALAPA,LA REGADERA,739
IZTAPALAPA,LAS PEÑAS,12648
IZTAPALAPA,LEYES DE REFORMA 1ERA SECCION,7712
IZTAPALAPA,LEYES DE REFORMA 2DA SECCION,4143
